text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
"một năm của Cherry trong một cái chớp mắt…em là tất cả của •her thirties• 
in remember of Bà Ngoại always be with you 
#bylinhtruong ",2025-06-12 17:19:59,12/06/2025,False,https://www.tiktok.com/@bylinhtruong,original sound - bylinhtruong,7515005646749289217,https://www.tiktok.com/@bylinhtruong/video/7515005623709224199,31,394,0,5102,4,7,bylinhtruong,False,False,bylinhtruong,False,True,False,0,1,24,0,0,1,0,0,0
Đi đâu thì đi chứ làm việc on-the-go nhaaa #bylinhtruong ,2025-06-12 14:52:34,12/06/2025,False,https://www.tiktok.com/@bylinhtruong,original sound - bylinhtruong,7514967657465105169,https://www.tiktok.com/@bylinhtruong/video/7514967620785900818,18,63,0,1617,1,1,bylinhtruong,False,False,bylinhtruong,False,True,False,0,1,9,0,0,1,0,0,0
hàng ngày với một chấm nhún bèo #bylinhtruong #ootd,2025-06-10 12:33:33,10/06/2025,False,https://www.tiktok.com/@bylinhtruong,original sound - bylinhtruong,7514189653568015120,https://www.tiktok.com/@bylinhtruong/video/7514189624240131346,18,115,5,4013,10,8,"bylinhtruong, ootd",False,False,bylinhtruong,False,True,False,0,2,7,0,0,1,0,0,0
bây giờ đi đâu thì cũng chỉ chăm chăm đi kiếm đồ cho chị bé ở nhà thôi #bylinhtruong #traveltiktok ,2025-06-09 13:42:09,09/06/2025,False,https://www.tiktok.com/@bylinhtruong,original sound - bylinhtruong,7513836259349891896,https://www.tiktok.com/@bylinhtruong/video/7513836230375673144,161,641,19,11400,74,22,"bylinhtruong, traveltiktok",False,False,bylinhtruong,False,True,False,0,2,18,0,0,1,0,0,0
✨ A thing for sparkle outfit #bylinhtruong #ootd ,2025-06-08 20:13:34,08/06/2025,False,https://www.tiktok.com/@bylinhtruong,original sound - bylinhtruong,7513566043739048721,https://www.tiktok.com/@bylinhtruong/video/7513566009572216082,14,143,1,2621,2,9,"bylinhtruong, ootd",False,False,bylinhtruong,False,True,False,1,2,5,0,0,0,1,0,1
Tìm được đầm lụa yêu thích mặc dịp nào cũng được #silkdress #đầmlụa ,2025-06-06 14:38:20,06/06/2025,False,https://www.tiktok.com/@bylinhtruong,original sound - bylinhtruong,7512737476164438801,https://www.tiktok.com/@bylinhtruong/video/7512737453091048712,21,150,2,3998,16,7,"silkdress, đầmlụa",False,False,bylinhtruong,False,True,False,0,2,11,0,0,1,0,0,0
"Working mom sẽ ưu tiên những gì để mỗi ngày đều là khởi đầu mới tốt đẹp #ElixirVN #ElixirPartner 

Disclaimer: Hiệu quả của sản phẩm tuỳ thuộc vào tình trạng và cơ địa của từng người",2025-06-05 12:22:11,05/06/2025,False,https://www.tiktok.com/@bylinhtruong,original sound - bylinhtruong,7512331314704648961,https://www.tiktok.com/@bylinhtruong/video/7512331278377667858,85,8252,215,58100,312,58,"elixirvn, elixirpartner",False,False,bylinhtruong,False,True,False,0,2,34,0,0,1,0,0,0
tiếp nào các bạn cushion YSL lên sàn nhé #cushion #yslcushion #encrepepeau ,2025-06-04 11:36:13,04/06/2025,False,https://www.tiktok.com/@bylinhtruong,nhạc nền - bylinhtruong,7511948397537479440,https://www.tiktok.com/@bylinhtruong/video/7511948342952332551,144,109,6,3676,9,11,"cushion, yslcushion, encrepepeau",False,False,bylinhtruong,False,True,False,0,3,9,0,1,0,0,0,0
chiếc combo môi rất cappucina của tôiiii #lipcombo #bylinhtruong ,2025-05-20 17:36:26,20/05/2025,False,https://www.tiktok.com/@bylinhtruong,original sound - bylinhtruong,7506474933528021776,https://www.tiktok.com/@bylinhtruong/video/7506474896361377031,43,58,3,2146,9,7,"lipcombo, bylinhtruong",False,False,bylinhtruong,False,True,False,0,2,7,0,0,1,0,0,0
"#CeraVePartner Cảm giác trẻ ra mấy miếng nhờ back to school với Acne Academy cùng CeraVe 
Disclaimer: Hiệu quả của sản phẩm tuỳ thuộc vào tình trạng và cơ địa từng người
#CeraVe #CeraVeVietnam",2025-05-19 11:14:34,19/05/2025,True,https://www.tiktok.com/@bylinhtruong,nhạc nền - bylinhtruong,7506005460987284225,https://www.tiktok.com/@bylinhtruong/video/7506005399221325074,119,4052,302,31900,324,83,"ceravepartner, cerave, ceravevietnam",False,False,bylinhtruong,False,True,False,0,3,31,0,1,0,0,0,0
Khi hai đứa bạn thân iu xa mỗi đứa một đầu thành phố gặp nhaooo kiểu… #pov @Phương Ly ,2025-05-17 17:57:46,17/05/2025,False,https://www.tiktok.com/@bylinhtruong,original sound - bylinhtruong,7505367163294452481,https://www.tiktok.com/@bylinhtruong/video/7505367139323251975,8,348,14,9803,8,11,"pov, ",False,False,bylinhtruong,False,True,False,0,1,18,0,0,1,0,0,1
