text,createTime,createTimeISO,isAd,profileUrl,musicName,musicId,webVideoUrl,duration,diggCount,shareCount,playCount,collectCount,commentCount,hashtags,isSlideshow,isSponsored,kol_username,ttSeller,commerceUser,is_trending,emoji_count,hashtag_count,word_count_no_emoji_hashtag,early_morning,morning,afternoon,evening,late_night,is_weekend
[Swatch full 10 màu Merzy mới] và highlight 4 màu cho mọi người dễ mua luôn rồi ớ 🕺🏻 #xh #viral #merzy #merzyvn #merzydewtint #merzynewdew #sonthach #sonlightstick #merzydewphienbanmoinhat ,2025-06-12 12:23:41,12/06/2025,True,https://www.tiktok.com/@truc.dao,original sound,6979855732837550850,https://www.tiktok.com/@truc.dao/video/7514929266140679432,216,81,2,3932,10,7,"xh, viral, merzy, merzyvn, merzydewtint, merzynewdew, sonthach, sonlightstick, merzydewphienbanmoinhat",False,False,truc.dao,False,False,False,1,9,18,0,0,1,0,0,0
Em ở đây tương rồi tư mấy ngày rồiii ,2025-06-11 18:28:35,11/06/2025,False,https://www.tiktok.com/@truc.dao,Nói Ra Hết Choco Trúc Phương Hoàng Thống,7512447185234021121,https://www.tiktok.com/@truc.dao/video/7514652212505742599,19,450,3,4239,11,12,,False,False,truc.dao,False,False,False,0,0,9,0,0,0,1,0,0
Hè tớiiiiii 🤙🏻,2025-06-09 18:13:34,09/06/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - PmChou 🎀,7512448932572941057,https://www.tiktok.com/@truc.dao/video/7513906173142191367,25,4504,129,36700,213,23,,False,False,truc.dao,False,False,True,1,0,2,0,0,0,1,0,0
🤙🏻,2025-06-05 22:02:08,05/06/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - đại tá meo meo,7502364218935593744,https://www.tiktok.com/@truc.dao/video/7512480733928180999,15,9937,155,79900,368,48,,False,False,truc.dao,False,False,False,1,0,0,0,0,0,0,1,0
random tùm lum màu ,2025-06-04 21:29:41,04/06/2025,False,https://www.tiktok.com/@truc.dao,"Yours (feat. LeeHi, CHANGMO)",6881604721321183233,https://www.tiktok.com/@truc.dao/video/7512101278072294674,0,939,11,15000,26,14,,True,False,truc.dao,False,False,False,0,0,4,0,0,0,1,0,0
Tìm ra màu son bám lâu để tắm biển rồi đâyy 🕺🏻 #xh #viral #fyp #goclamdep #sonxinh #sonmlbb #colorkeylips #colorkey #colorkeyvn ,2025-06-03 19:57:12,03/06/2025,True,https://www.tiktok.com/@truc.dao,original sound,6979855732837550850,https://www.tiktok.com/@truc.dao/video/7511706366289956114,76,452,14,143100,38,11,"xh, viral, fyp, goclamdep, sonxinh, sonmlbb, colorkeylips, colorkey, colorkeyvn",False,True,truc.dao,False,False,False,1,9,11,0,0,0,1,0,0
"Từ hồi đổi qua mấy dạng máy kiểu này là đi chơi gọn thêm được 1 tí luôn, cứ 1 trục + 2 đầu theo là xongg cả sấy lẫn làm tóc =)))) #akio #maylamtoc #tip #xh #uontocdep #viral #mayuontoc ",2025-06-02 18:51:35,02/06/2025,True,https://www.tiktok.com/@truc.dao,original sound,6979855732837550850,https://www.tiktok.com/@truc.dao/video/7511318374740135186,118,93,14,7958,6,9,"akio, maylamtoc, tip, xh, uontocdep, viral, mayuontoc",False,False,truc.dao,False,False,False,0,7,33,0,0,0,1,0,0
"Dạo này up ảnh mọi người hay hỏi công thức chỉnh sao, tưởng chụp điện thoại ai dè thiệt ra toàn là chụp con máy mới này không thoy =)) hihi #canon #canoncamera #canonvietnam #eosr50 #canonbeauty ",2025-05-31 21:06:35,31/05/2025,False,https://www.tiktok.com/@truc.dao,original sound,6979855732837550850,https://www.tiktok.com/@truc.dao/video/7510610992888417554,151,19200,1386,302300,3129,235,"canon, canoncamera, canonvietnam, eosr50, canonbeauty",False,False,truc.dao,False,False,False,0,5,31,0,0,0,1,0,1
Công nhận haaaa 🤓,2025-05-29 21:03:54,29/05/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - thanh huyền,7495388910009846529,https://www.tiktok.com/@truc.dao/video/7509868129934118151,15,911,20,14100,40,8,,False,False,truc.dao,False,False,False,1,0,3,0,0,0,1,0,0
Ê ê,2025-05-29 11:33:37,29/05/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - KORE - D,7503516634792889089,https://www.tiktok.com/@truc.dao/video/7509721160926383368,5,3564,30,47100,71,29,,False,False,truc.dao,False,False,False,0,0,2,0,1,0,0,0,0
"LT4 xinh voãi các chị em ơiii, phải săn được LT4 trong BST mới này nhaaa #foif #mlb #xh #foifteddy #sonthachteddy #sonthach #foifjellylastingtint ",2025-05-24 21:46:42,24/05/2025,True,https://www.tiktok.com/@truc.dao,ɱ α ɠ ɳ ҽ ƚ ι ƈ,7354998636542200581,https://www.tiktok.com/@truc.dao/video/7508023734888893714,123,498,60,29300,58,8,"foif, mlb, xh, foifteddy, sonthachteddy, sonthach, foifjellylastingtint",False,False,truc.dao,False,False,False,0,7,16,0,0,0,1,0,1
,2025-05-21 21:48:38,21/05/2025,False,https://www.tiktok.com/@truc.dao,Young And Beautiful,250638177638723585,https://www.tiktok.com/@truc.dao/video/7506910974444702994,0,662,2,10700,16,7,,True,False,truc.dao,False,False,False,0,0,0,0,0,0,1,0,0
Có chị em đã thử qua dòng này chưa ạaaa? 😚 #foif #foifbymerzy #foifblurtint #mlb #xh #viral #sonkemli #sonfoif  ,2025-05-19 19:32:03,19/05/2025,False,https://www.tiktok.com/@truc.dao,sonido original,7092754962417076998,https://www.tiktok.com/@truc.dao/video/7506133609976204551,102,108,1,4969,8,3,"foif, foifbymerzy, foifblurtint, mlb, xh, viral, sonkemli, sonfoif",False,False,truc.dao,False,False,False,1,8,10,0,0,0,1,0,0
[ MỤN ẨN ] Khắc phục 2 lỗi nhỏ đơn giản này thôi là hạn chế mụn ẩn lắm á #kemchongnangchodadaumun #garnier #garniervn#garcellarbha #kemchongnangkiemdau ,2025-05-16 21:07:24,16/05/2025,True,https://www.tiktok.com/@truc.dao,nhạc nền - Những Bản Nhạc Nghe Là Nghiện,6907413557688765186,https://www.tiktok.com/@truc.dao/video/7505044923985480978,95,222,2,35100,11,1,"kemchongnangchodadaumun, garnier, garniervn, gar, kemchongnangkiemdau",False,False,truc.dao,False,False,False,0,5,20,0,0,0,1,0,0
🕺🏻,2025-05-14 18:35:56,14/05/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - đại tá meo meo,7502364218935593744,https://www.tiktok.com/@truc.dao/video/7504263721812823314,20,1267,8,19300,33,10,,False,False,truc.dao,False,False,False,1,0,0,0,0,0,1,0,0
Xin chị em chỉ dạy 🥲 ,2025-05-13 21:23:22,13/05/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - cậu bé thích ăn gà 🐔🤡🤙,7254845373529377542,https://www.tiktok.com/@truc.dao/video/7503935785259830536,31,315,3,10800,8,10,,False,False,truc.dao,False,False,False,1,0,5,0,0,0,1,0,0
Giao diện và nhạc của cổ lệch nhau :)),2025-05-12 19:35:23,12/05/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - Nguyen Cao Ky Duyen,7491315632516942609,https://www.tiktok.com/@truc.dao/video/7503536865379683591,13,17200,363,295600,578,94,,False,False,truc.dao,False,False,False,0,0,9,0,0,0,1,0,0
Nếu nhép khó quá thì ta rủ chị em ta nhép chung cho đỡ khó =))) @Quynmin nè🌝 @Dạ An #xh#xhiral  ,2025-05-11 19:44:53,11/05/2025,False,https://www.tiktok.com/@truc.dao,original sound,7485105907685182238,https://www.tiktok.com/@truc.dao/video/7503168234846162194,21,505,8,12900,11,11,", , xh, xh",False,False,truc.dao,False,False,False,1,2,20,0,0,0,1,0,1
"Tôi là nạn nhân của Pickleball, ban đầu nghĩ chơi cho biết thôi ai dè giờ ngày nào cũng muốn chơi 😟 ",2025-05-09 17:47:10,09/05/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - B Ư Ở I,7408396106440215312,https://www.tiktok.com/@truc.dao/video/7502395727067237640,17,1023,2,18100,21,8,,False,False,truc.dao,False,False,False,1,0,21,0,0,1,0,0,0
Nhạc hay thì ta làm gì? Ta biến hình 😗 ,2025-05-08 19:03:33,08/05/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - 𝗡𝗧𝗣 𝗩𝗜𝗡𝗔𝗛𝗢𝗨𝗦𝗘,7283904348210481922,https://www.tiktok.com/@truc.dao/video/7502044327862881554,27,945,6,17300,18,12,,False,False,truc.dao,False,False,False,1,0,9,0,0,0,1,0,0
"Quay job lâu ❌ 

Lo quay tiktok nên quay job lâu ✅ ",2025-04-24 21:03:53,24/04/2025,False,https://www.tiktok.com/@truc.dao,original sound,7263225464389520130,https://www.tiktok.com/@truc.dao/video/7496880144825552136,15,891,5,16500,21,16,,False,False,truc.dao,False,False,False,2,0,10,0,0,0,1,0,0
Trả lời @ô mai gótt Nhớ tìm đúng cái dáng trong video là được nhaaa 🕺🏻 #migia #mimatcao #goclamdep #xh,2025-04-23 19:07:30,23/04/2025,False,https://www.tiktok.com/@truc.dao,cant get you out of my head,7098310666238413574,https://www.tiktok.com/@truc.dao/video/7496479062626405639,83,6615,44,45700,352,6,", migia, mimatcao, goclamdep, xh",False,False,truc.dao,False,False,False,1,4,15,0,0,0,1,0,0
Dòng son cùng với thương hiệu Mistine - brand ISPEAK 💕 Swatch full bảng màu 2 dòng son mới này đâyy #mlbb #sonduong #sonduongcomau #sonispeak #liptint #ispeakvn #sonxinh #goclamdep #MLBB ,2025-04-19 20:45:42,19/04/2025,True,https://www.tiktok.com/@truc.dao,original sound,7263225464389520130,https://www.tiktok.com/@truc.dao/video/7495020032645238023,219,6875,92,68500,341,17,"mlbb, sonduong, sonduongcomau, sonispeak, liptint, ispeakvn, sonxinh, goclamdep, mlbb",False,False,truc.dao,False,False,False,1,9,20,0,0,0,1,0,1
Son dưỡng merzy: độ dưỡng vừa phải - không làm nặng môi - màu lên rõ - trong veo 👍🏻 #merzy #merzyvn #merzylipbalm #sonvanphong #mlbb #sonduong #sonduongcomau ,2025-04-18 19:09:58,18/04/2025,False,https://www.tiktok.com/@truc.dao,이 지금,7262349379556608770,https://www.tiktok.com/@truc.dao/video/7494624278453767442,108,113,7,7470,14,1,"merzy, merzyvn, merzylipbalm, sonvanphong, mlbb, sonduong, sonduongcomau",False,False,truc.dao,False,False,False,1,7,19,0,0,0,1,0,0
Make up full face với @Florasis VN (Hoa Tây Tử) 🧚🏻‍♀️ Và nếu chỉ mua được một món xin phép đề xuất phấn phủ đầu tiên - rồi tới cushion - và bảng mắt - son. Đẹp thì thôi luôn 🥹 #florasis #hoataytu #makeup #goclamdep #florasismakeup #hoataytuflorasis ,2025-04-16 12:22:46,16/04/2025,False,https://www.tiktok.com/@truc.dao,suara asli - 𝒞𝒽𝒾𝓀𝒶.𝒸𝒽,7429341348749249285,https://www.tiktok.com/@truc.dao/video/7493777169739500807,204,63,3,5139,5,5,", florasis, hoataytu, makeup, goclamdep, florasismakeup, hoataytuflorasis",False,False,truc.dao,False,False,False,3,6,40,0,0,1,0,0,0
"Ngộ ha, giờ bài nào nhép cũng ngon lành luôn là khác :D",2025-04-14 23:12:06,14/04/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - Phan Trọng,7490548820280478465,https://www.tiktok.com/@truc.dao/video/7493202334512696583,15,4349,30,75400,107,39,,False,False,truc.dao,False,False,False,0,0,13,0,0,0,0,1,0
Trả lời @Trúc Đàoo Lên dáng xoăn sóng lơi cho cả nhà mình nè. So sánh 2 dáng tóc xoăn mà mọi người phân vân nhiều nhấtt #tocgia #aretta #arettavn #tocgiaaretta ,2025-04-14 19:15:53,14/04/2025,True,https://www.tiktok.com/@truc.dao,higher sped up all,7182553143429925675,https://www.tiktok.com/@truc.dao/video/7493141465858575624,72,603,42,170000,86,79,", tocgia, aretta, arettavn, tocgiaaretta",False,False,truc.dao,False,False,False,0,4,27,0,0,0,1,0,0
Bản kia lỗi nên up lại bản này vậy 🙂‍↕️ lâu quá chưa nhép nhép gì cả #mooekiss #mooekissG01 #bienhinh #xh #viral ,2025-04-12 21:42:00,12/04/2025,True,https://www.tiktok.com/@truc.dao,เสียงต้นฉบับ - ข้าวต้มมัด,7463903656191068945,https://www.tiktok.com/@truc.dao/video/7492436944559934727,15,1812,13,19800,48,20,"mooekiss, mooekissg01, bienhinh, xh, viral",False,False,truc.dao,False,False,False,1,5,17,0,0,0,1,0,1
Tips gắn mi sao cho lên video/ảnh rõ hơn nè #mlendiary #mlenvn #migia ,2025-04-11 20:01:48,11/04/2025,True,https://www.tiktok.com/@truc.dao,Skz 충돌collision speedup,7240827198806477569,https://www.tiktok.com/@truc.dao/video/7492040038125931794,123,112,2,4496,16,1,"mlendiary, mlenvn, migia",False,False,truc.dao,False,False,False,0,3,10,0,0,0,1,0,0
Unbox quà Super Brand Dayy 😚 #goclamdep #superbrandday #beautytok #garnier #garniervn #micellar #micellarbha #nuoctaytrang #nuoctaytranggarnier #garniersbd ,2025-04-10 20:01:17,10/04/2025,True,https://www.tiktok.com/@truc.dao,higher sped up all,7182553143429925675,https://www.tiktok.com/@truc.dao/video/7491668815101693202,98,383,3,47000,11,0,"goclamdep, superbrandday, beautytok, garnier, garniervn, micellar, micellarbha, nuoctaytrang, nuoctaytranggarnier, garniersbd",False,False,truc.dao,False,False,True,1,10,5,0,0,0,1,0,0
V6 huyền thoại Merzy trở lại rồi 😭 Chị em mình đã có chưaaaa? Ver này về đúng tone đỏ sang xịn luôn #merzy #merzyvn #merzyv6 #v6puffer #sonxinh #puffercollection ,2025-04-09 18:58:05,09/04/2025,True,https://www.tiktok.com/@truc.dao,higher sped up all,7182553143429925675,https://www.tiktok.com/@truc.dao/video/7491281453305613576,96,2502,257,360400,379,188,"merzy, merzyvn, merzyv6, v6puffer, sonxinh, puffercollection",False,False,truc.dao,False,False,False,1,6,22,0,0,0,1,0,0
Capcut giật giật gì chưa người đẹp? ,2025-04-05 21:07:20,05/04/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - RHYKHO,7401805069593021201,https://www.tiktok.com/@truc.dao/video/7489830409631534341,19,5135,148,70000,211,30,,False,False,truc.dao,False,False,False,0,0,7,0,0,0,1,0,1
Mấy chất phấn khác mình thấy hạt cũng mịn cũng nhỏ nhưng sao hạt chất phấn này mình thấy còn mịn x2 ta 🤡 Hay do nó mắc nên dùng cái thấy vậy haha #florasis #phanphukiemdau #phanphuhoataytu #hoataytu ,2025-04-05 16:53:57,05/04/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - Trúc Đàoo,7489765111651011334,https://www.tiktok.com/@truc.dao/video/7489765092838345989,40,219,3,9218,8,4,"florasis, phanphukiemdau, phanphuhoataytu, hoataytu",False,False,truc.dao,False,False,False,1,4,33,0,0,1,0,0,1
Ráng thuộc lời mà nhép cũng không kịp luôn ,2025-04-03 19:44:58,03/04/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - Hip Hop National VN,7487917756831091462,https://www.tiktok.com/@truc.dao/video/7489067012199583031,13,910,7,12900,18,6,,False,False,truc.dao,False,False,False,0,0,9,0,0,0,1,0,0
"Ngắn gọn: dễ chuốt, lâu trôi, ít lem, giữ mi cong lâu 👍🏻 #mascara #mascarareview #colorkeymascara #colorkeyvn #longanddense ",2025-04-02 18:49:04,02/04/2025,True,https://www.tiktok.com/@truc.dao,이 지금,7262349379556608770,https://www.tiktok.com/@truc.dao/video/7488681523248434437,59,299,18,33500,16,4,"mascara, mascarareview, colorkeymascara, colorkeyvn, longanddense",False,False,truc.dao,False,False,False,1,5,12,0,0,0,1,0,0
Chia sẻ một trong những mã mi mình hay dùng đây ạaa 🫧 #migia #misankeo #migiafocallure #mitudinh #focallureeyelashes #focallurebeauty #acemedia ,2025-03-30 21:29:11,30/03/2025,True,https://www.tiktok.com/@truc.dao,russian roulette,7382404853638695711,https://www.tiktok.com/@truc.dao/video/7487609525042728198,117,226,4,23300,9,1,"migia, misankeo, migiafocallure, mitudinh, focallureeyelashes, focallurebeauty, acemedia",False,False,truc.dao,False,False,False,1,7,12,0,0,0,1,0,1
Hãy tin tui dù chỉ một lầnnn 🥲 Son bùn hay son bóng của hãng đều đẹp mà flop quá huhu #mooekiss #MLBB #sonxinh #sonmooekiss ,2025-03-30 17:13:57,30/03/2025,True,https://www.tiktok.com/@truc.dao,Đã Quên Rồi NgThAnh remix,7364641383061146384,https://www.tiktok.com/@truc.dao/video/7487543749505993990,27,135,2,3990,7,3,"mooekiss, mlbb, sonxinh, sonmooekiss",False,False,truc.dao,False,False,False,1,4,20,0,0,1,0,0,1
Hôm nay swatch son mới nữa đâyy cả nhà mình ơyyy 🕺🏻 @CHIOTURE VN #sonbong #sonxinh #chioture #chioturelipstick ,2025-03-28 19:44:04,28/03/2025,True,https://www.tiktok.com/@truc.dao,이 지금,7262349379556608770,https://www.tiktok.com/@truc.dao/video/7486840267123805445,84,264,9,9289,17,7,", sonbong, sonxinh, chioture, chioturelipstick",False,False,truc.dao,False,False,False,1,4,13,0,0,0,1,0,0
"Niềm vui đơn giản con gái tụi em, anh đâu hiểu được 🙂‍↕️ Có son mới, đồ make up mới là ngồi cả ngày test với vậy vậy á =))))) #odbo #4u2 #4u2cosmetics #newcollection #eyeshadow #sonxinh ",2025-03-27 18:06:54,27/03/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - ℜ•𝔪𝔞𝔱.ᝰ.ᐟ,7481436207681850128,https://www.tiktok.com/@truc.dao/video/7486444146480139538,41,214,9,5318,4,1,"odbo, 4u2, 4u2cosmetics, newcollection, eyeshadow, sonxinh",False,False,truc.dao,False,False,False,1,6,30,0,0,0,1,0,0
Mấy bà chọn màu nào xinh nhấtt dạ? #3ddewylips #sonxinh #mlbb #focallurevn #focallure #focallurecaitien #acemedia ,2025-03-26 20:13:25,26/03/2025,True,https://www.tiktok.com/@truc.dao,original sound - ryazplayz,7251443139499870981,https://www.tiktok.com/@truc.dao/video/7486105666944339207,76,120,16,22000,8,1,"3ddewylips, sonxinh, mlbb, focallurevn, focallure, focallurecaitien, acemedia",False,False,truc.dao,False,False,False,0,7,8,0,0,0,1,0,0
"Thông báo: full 10 màu mà mấy bạn đợi đã chính thức mở bán rồi nèeee 

❌ Lưu video lại để ngày 26.03 mua để được MUA 1 TẶNG 1 NHÁ, chỉ duy nhất vào 10h sáng ngày mai 🔥🕺🏻 #merzy #merzyvn #puffercollection #mlbb #sonxinh #xh ",2025-03-25 09:49:51,25/03/2025,True,https://www.tiktok.com/@truc.dao,nhạc nền - Trúc Đàoo,7485574189982796560,https://www.tiktok.com/@truc.dao/video/7485573844871302407,117,12600,1078,547900,1831,171,"merzy, merzyvn, puffercollection, mlbb, sonxinh, xh",False,False,truc.dao,False,False,True,2,6,38,0,1,0,0,0,0
Nhảy cũng chướng nữa =)))))) ,2025-03-24 20:37:22,24/03/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - điểm phát nhạc,7484316087526427408,https://www.tiktok.com/@truc.dao/video/7485369665204620552,24,9281,57,101400,175,91,,False,False,truc.dao,False,False,False,0,0,5,0,0,0,1,0,0
"Trả lời @Quỳnh Giao ♡🍒 Trả lời các câu hỏi của mấy bạn về son Merzy ver mới này, so sánh 5-7-8 và màu nào đỏ thuần hay màu nào giống V6 nhất thì trong video có đủ nha 💕 #merzy #merzyvn #sonxinh #puffercollection #mlbb #v6merzy ",2025-03-21 19:35:29,21/03/2025,True,https://www.tiktok.com/@truc.dao,nhạc nền - Trúc Đàoo,7484240506302532369,https://www.tiktok.com/@truc.dao/video/7484240466028940562,119,506,66,43900,107,60,", merzy, merzyvn, sonxinh, puffercollection, mlbb, v6merzy",False,False,truc.dao,False,False,False,2,6,38,0,0,0,1,0,0
"Thử qua phấn phủ màu hồng này đi chị em ơi, đỡ bị flashback hẳn luôn á #phanphukiemdau #minchuanfilter #colorkeysuperbrandday #toasacmoiphongcach #phanphu  ",2025-03-19 20:40:08,19/03/2025,True,https://www.tiktok.com/@truc.dao,이 지금,7262349379556608770,https://www.tiktok.com/@truc.dao/video/7483514957154290962,73,712,25,113000,30,23,"phanphukiemdau, minchuanfilter, colorkeysuperbrandday, toasacmoiphongcach, phanphu",False,False,truc.dao,False,False,False,0,5,17,0,0,0,1,0,0
Nước tẩy trang lòng tuiii 🌺 #nuoctaytrang #garnier #garniervn #beautytok #goclamde #micellar ,2025-03-18 20:47:09,18/03/2025,True,https://www.tiktok.com/@truc.dao,Idyllic jazz bossa nova with piano and guitar(1298871),7146290607604893697,https://www.tiktok.com/@truc.dao/video/7483145676382063879,106,96,3,4730,9,3,"nuoctaytrang, garnier, garniervn, beautytok, goclamde, micellar",False,False,truc.dao,False,False,False,1,6,5,0,0,0,1,0,0
Có quà là hí hửng liềnggg =))) Em cảm ơn Colorkey vì món quà siêu dễ thương này ạaa #colorkeysuperbrandday #toasacmoiphongcach #shineverylook #unboxing ,2025-03-17 21:21:50,17/03/2025,False,https://www.tiktok.com/@truc.dao,Matcha Boba,7289267160437442562,https://www.tiktok.com/@truc.dao/video/7482783530863447303,60,151,3,5117,6,6,"colorkeysuperbrandday, toasacmoiphongcach, shineverylook, unboxing",False,False,truc.dao,False,False,False,0,4,19,0,0,0,1,0,0
"Tranh thủ đang có đợt Super Brand Day của Colorkey sale lớn lắmmm!!! Sale tới 50% luôn là khác, nên là chốt lẹ vài màu nèooo 😚 
#colorkeysuperbrandday #brandday #toasacmoiphongcach #colorkey #sonxinh #fyp #mlbb #goclamdep #xh ",2025-03-16 19:32:59,16/03/2025,True,https://www.tiktok.com/@truc.dao,nhạc nền - thanh huyền,7495388910009846529,https://www.tiktok.com/@truc.dao/video/7482384395454647559,103,4072,152,786200,509,68,"colorkeysuperbrandday, brandday, toasacmoiphongcach, colorkey, sonxinh, fyp, mlbb, goclamdep, xh",False,False,truc.dao,False,False,True,1,9,26,0,0,0,1,0,1
Xịt khoá hơn 100k mà ổn áp thì cả nhà tham khảo qua thử em này nhaaa #xitkhoacolorkey #xitkhoamakeup #colorkeysuperbrandday #toasacmoiphongcach #colorkeyvietnam ,2025-03-15 19:55:36,15/03/2025,True,https://www.tiktok.com/@truc.dao,Skz 충돌collision speedup,7240827198806477569,https://www.tiktok.com/@truc.dao/video/7482019132553301266,108,11800,518,2700000,1422,443,"xitkhoacolorkey, xitkhoamakeup, colorkeysuperbrandday, toasacmoiphongcach, colorkeyvietnam",False,False,truc.dao,False,False,False,0,5,17,0,0,0,1,0,1
"Trước dùng mút Amortals cũng êm lắm rồi, thử qua cái này nó x2 sự thích luôn. Bị cái nó mắc quá 🤡 Mắc vãi huhu nhưng có dùng thử đồ nhà @RED CHAMBER VN thì mng hãy thử mút này nhéeeeee, phải thử!!! ",2025-03-15 14:51:16,15/03/2025,False,https://www.tiktok.com/@truc.dao,Poker Face,6917492138762569730,https://www.tiktok.com/@truc.dao/video/7481940703614897426,14,139,2,5578,3,6,,False,False,truc.dao,False,False,False,1,0,43,0,0,1,0,0,1
Lên!!!,2025-03-10 20:19:44,10/03/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - 𝑾𝒂𝒏𝒈𝒍𝒆𝒆,7444486716326546193,https://www.tiktok.com/@truc.dao/video/7480169933352062215,14,2407,30,37900,86,19,,False,False,truc.dao,False,False,False,0,0,1,0,0,0,1,0,0
"Get ready buổi tối tíc tắc với kem lạnh tẩy trang, nghe lạ haaa =)) Mà giờ việc mình tẩy trang làm sạch da nhanh hơn hồi trước lắm. Tiện, khoẻ hẳn #kemlanhtaytrang #chifure #taytrang #skincareroutine ",2025-03-09 19:38:38,09/03/2025,True,https://www.tiktok.com/@truc.dao,볼빤간 사춘기 빈칸을 채워주시오,6890871768253483777,https://www.tiktok.com/@truc.dao/video/7479788258843446535,100,381,5,17900,23,9,"kemlanhtaytrang, chifure, taytrang, skincareroutine",False,False,truc.dao,False,False,False,0,4,32,0,0,0,1,0,1
Test hết tất cả các màu của cushion mới nhà Colorkey 💕 #cushion1cham #cushioncolorkey #colorkeyvietnam #colorkey #colorkeyvn #cushion ,2025-03-08 19:49:51,08/03/2025,True,https://www.tiktok.com/@truc.dao,original sound,7181538767051098923,https://www.tiktok.com/@truc.dao/video/7479420058104515848,141,1813,137,306900,207,73,"cushion1cham, cushioncolorkey, colorkeyvietnam, colorkey, colorkeyvn, cushion",False,False,truc.dao,False,False,False,1,6,11,0,0,0,1,0,1
Năm 17 ,2025-03-07 18:26:33,07/03/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - Tama Làm Nhạc,7279074231480290049,https://www.tiktok.com/@truc.dao/video/7479027511121186055,0,4470,22,54200,95,64,,True,False,truc.dao,False,False,False,0,0,2,0,0,0,1,0,0
Trả lời @Thư📨 Lì còn hơn nyc tui nữa 😇 #merzy #merzypuffer #puffercollection #sonmerzy ,2025-03-05 19:47:43,05/03/2025,False,https://www.tiktok.com/@truc.dao,nhạc nền - Ltp0609_1995,7340980815708719874,https://www.tiktok.com/@truc.dao/video/7478306255501675794,26,58,3,7557,2,0,", merzy, merzypuffer, puffercollection, sonmerzy",False,False,truc.dao,False,False,False,2,4,9,0,0,0,1,0,0
Uii thêm một set son quá dễ thương mà còn lại có quà đẹp khi mua cả sett. Àaa set này rất hợp làm quà mọi dịp đặc biệt luôn á #smallbowknot #florttelipstick #flortte #florttesonkemlì #backtoschool #newcollection #florttegiftbox ,2025-03-04 20:59:27,04/03/2025,True,https://www.tiktok.com/@truc.dao,A heartwarming cute song for everyday scenes(840142),6849967781551540226,https://www.tiktok.com/@truc.dao/video/7477953653639318802,135,336,11,30400,27,2,"smallbowknot, florttelipstick, flortte, florttesonkemlì, backtoschool, newcollection, florttegiftbox",False,False,truc.dao,False,False,True,0,7,31,0,0,0,1,0,0
"Đỉnh nóc kịch trầnn 🔥😭 Full 10 màu son Merzy đây ạaa, không thể đợi thêmm nữaaa. Màu đợt này càng về sau càng đẹp, nên nhớ bấm 🫵🏻🥹 lưu video lại nhen #merzy #merzypuffer #puffercollection #sonmerzy #bstmoi #sonxinh #xh ",2025-02-28 12:08:16,28/02/2025,True,https://www.tiktok.com/@truc.dao,original sound,7181538767051098923,https://www.tiktok.com/@truc.dao/video/7476332430387891464,141,88500,12000,2900000,10300,1051,"merzy, merzypuffer, puffercollection, sonmerzy, bstmoi, sonxinh, xh",False,False,truc.dao,False,False,False,2,7,31,0,0,1,0,0,0
"Đào đã lựa ra 3 màu dễ dùng trong bảng màu này rồi nè. Dùng hằng ngày hay trang điểm hoặc không đều oki, trừ 107 hơi ánh hồng cân nhắc thôi. Còn lại cứ chốt đơnn 😚 #colorkey #colorkeyvn #keymakeupcolor #fyp #sonmlbb #goclamdep #xh #sonxinh ",2025-02-27 17:57:24,27/02/2025,True,https://www.tiktok.com/@truc.dao,볼빤간 사춘기 빈칸을 채워주시오,6890871768253483777,https://www.tiktok.com/@truc.dao/video/7476051313831316743,86,431,10,43400,40,4,"colorkey, colorkeyvn, keymakeupcolor, fyp, sonmlbb, goclamdep, xh, sonxinh",False,False,truc.dao,False,False,False,1,8,37,0,0,1,0,0,0
"Colorkey ra kem nền mớii!!! Phiên bản mới có gì khác với bản cũ, cùng Đào so sánh nhaaa 💕 
Mình thấy kem nền này khá hợp mấy bạn da dầu á, ai da dầu tham khảo qua thử đi nà 
#kemnennangcap #kemnencolorkey #foudation #kemnencolorkeypro #depminchuanlikhongtroi #colorkey ",2025-02-26 18:40:44,26/02/2025,True,https://www.tiktok.com/@truc.dao,"Games, make-up videos, and gentle trap loops(1117130)",7021248987533412353,https://www.tiktok.com/@truc.dao/video/7475691400441384199,129,833,66,110400,176,132,"kemnennangcap, kemnencolorkey, foudation, kemnencolorkeypro, depminchuanlikhongtroi, colorkey",False,False,truc.dao,False,False,False,1,6,40,0,0,0,1,0,0
